,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
112,Graphic Design,Dalmia Institutions Educare Services Private Limited,Kolkata,3 Months,5000,2 weeks ago,"['Adobe Illustrator', 'Adobe Indesign', 'Canva']",5000,0,1,0,0,1
113,Marketing,J D Jones & Company Private Limited,Kolkata,6 Months,8000-10000,3 weeks ago,"['Internet of Things (IoT)', 'MS-Office']",9000,0,1,0,0,1
114,Digital Marketing,Global Pet Cab,Bangalore,3 Months,10000-12000,2 weeks ago,"['Creative Writing', 'Digital Marketing', 'MS-Office', 'Search Engine Marketing (SEM)']",11000,0,1,0,0,1
115,Ecommerce Web Development (Shopify/WordPress),EmpiroLuxy Management And Digital Solutions Private Limited,Work From Home,4 Months,1000-11000,Today,"['C++ Programming', 'C Programming', 'JavaScript', 'PHP', 'WordPress']",6000,1,0,0,1,1
116,Hotel Management (Food & Beverage Production),PatilKaki,Navi Mumbai,3 Months,10000,Today,['Effective Communication'],10000,0,0,0,0,1
117,Video Editing/Making,Celebluk Weddings,Lucknow,3 Months,7000,,"['Adobe Photoshop', 'Video Editing']",7000,0,1,0,0,1
118,Media & Public Relations (PR),Deebaco,Noida,3 Months,5000,1 day ago,"['Anchoring', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'Social Media Marketing']",5000,0,1,0,0,1
119,Marketing,FIND YOUR COLLEGE,Ahmedabad,3 Months,5000,Today,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'MS-Office', 'Sales', 'Sales pitch', 'Social Media Marketing']",5000,0,1,0,0,1
120,Telecalling,Stareye Media & Entertainment Private Limited,"Ahmedabad, Surat",4 Months,5000,1 day ago,"['Effective Communication', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'MS-Excel']",5000,0,1,0,1,1
121,Brand Management,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000,1 day ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']",5000,0,1,0,1,1
122,Research Associate (Chemistry/Biotechnology),Primary Healthtech,Guwahati,6 Months,5000,1 day ago,"['Chemistry', 'Research and Analytics']",5000,0,0,0,1,1
123,Client Acquisition,Elements HR Services,Thiruvananthapuram,3 Months,10000-15000,,"['Client Interaction', 'Client Relationship', 'English Proficiency (Spoken)']",12500,0,1,0,0,1
124,Teaching,Digi Grow Hub Education,Pune,3 Months,3000,Today,"['Effective Communication', 'English Proficiency (Spoken)']",3000,0,1,0,1,1
